"Órgão UGE Código,""Órgão UGE Nome"",""Órgão UGE CNPJ"",""Órgão UGE - Poder Código"",""Órgão UGE - Poder Nome"",""Órgão UGE - Tipo Administração Código"",""Órgão UGE - Tipo Administração Nome"""
"22201,""INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA"",""3204421000122"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"22202,""EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA"",""348003000110"",""0"",""PODER EXECUTIVO"",""5"",""EMPRESA PUBLICA COMERCIAL E FINANCEIRA"""
"22203,""CIA.DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA"",""399857000126"",""0"",""PODER EXECUTIVO"",""5"",""EMPRESA PUBLICA COMERCIAL E FINANCEIRA"""
"22204,""DEPARTAMENTO NAC.DE OBRAS CONTRA AS SECAS"",""43711000143"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"22207,""COMPANHIA DE COLONIZACAO DO NORDESTE"",""6045942000172"",""0"",""PODER EXECUTIVO"",""6"",""ECONOMIA MISTA"""
"22211,""COMPANHIA NACIONAL DE ABASTECIMENTO"",""26461699000180"",""0"",""PODER EXECUTIVO"",""5"",""EMPRESA PUBLICA COMERCIAL E FINANCEIRA"""
"22500,""CIA.DE ENTREPOSTOS E ARMAZENS GER.DE S.PAULO"",""62463005000108"",""0"",""PODER EXECUTIVO"",""5"",""EMPRESA PUBLICA COMERCIAL E FINANCEIRA"""
"22801,""COMIS.EXEC.DO PLANO DA LAVOURA CACAUEIRA/MAPA"",""396895000125"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"22802,""INSTITUTO NACIONAL DE METEOROLOGIA/MAPA"",""396895000125"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"22803,""SECRETARIA NAC. DE DEFESA AGROPECUARIA/MAPA"",""396895000125"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"22804,""SUBSECRETARIA DE PLANEJ.,ORCAM.E ADM./MAPA"",""396895000125"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"22805,""FUNDO GERAL DO CACAU/MAPA"",""396895000125"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"22806,""SECRET.DE DESENV.AGROPEC.E COOPERATIVISMO"",""396895000125"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"22905,""FUNDO DE DEFESA DA ECONOMIA CAFEEIRA"",""396895000125"",""0"",""PODER EXECUTIVO"",""7"",""FUNDOS"""
"23000,""MINISTERIO DO BEM-ESTAR SOCIAL-EM EXTINCAO"",""0"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"23201,""FUND.CENTRO BRAS.INF.ADOLESCENCIA-EM EXTINCAO"",""33502329000100"",""0"",""PODER EXECUTIVO"",""4"",""FUNDACAO"""
"23202,""FUNDACAO LEGIAO BRAS.ASSISTENCIA-EM EXTINCAO"",""33627092002480"",""0"",""PODER EXECUTIVO"",""4"",""FUNDACAO"""
"24000,""MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACOES"",""1263896000164"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"24208,""INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO-ITI"",""4039532000193"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"24209,""CENTRO NAC DE TECN ELETRONICA AVANCADA S/A"",""10770641000189"",""0"",""PODER EXECUTIVO"",""5"",""EMPRESA PUBLICA COMERCIAL E FINANCEIRA"""
"24216,""TELECOMUNICACOES BRASILEIRAS S/A"",""336701000104"",""0"",""PODER EXECUTIVO"",""6"",""ECONOMIA MISTA"""
"24801,""INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS/MCT"",""1263896000164"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"24802,""SUBSECRETARIA DE PLANEJ.,ORCAMENTO E ADM./MCT"",""1263896000164"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"24803,""FINANCIADORA DE ESTUDOS E PROJETOS"",""69986000000028"",""0"",""PODER EXECUTIVO"",""5"",""EMPRESA PUBLICA COMERCIAL E FINANCEIRA"""
"24901,""FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO"",""8804832000172"",""0"",""PODER EXECUTIVO"",""7"",""FUNDOS"""
"25000,""MINISTERIO DA ECONOMIA"",""394460000141"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"25001,""FUNDO ESP.DES. APERF.DAS ATIV.DE FISCALIZACAO"",""394460000141"",""0"",""PODER EXECUTIVO"",""7"",""FUNDOS"""
"25002,""FUNDO ESP. DE TREINAMENTO E DESENVOLVIMENTO"",""394460000141"",""0"",""PODER EXECUTIVO"",""7"",""FUNDOS"""
"25201,""BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL"",""38166000105"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"25202,""BANCO DA AMAZONIA S.A."",""0"",""0"",""PODER EXECUTIVO"",""6"",""ECONOMIA MISTA"""
"25203,""COMISSAO DE VALORES MOBILIARIOS"",""29507878000108"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"25205,""FUND.INST.BRASILEIRO DE GEOG.E ESTATISTICA"",""33787094000140"",""0"",""PODER EXECUTIVO"",""4"",""FUNDACAO"""
"25206,""INSTITUTO DE PESQUISA ECONOMICA APLICADA"",""0"",""0"",""PODER EXECUTIVO"",""4"",""FUNDACAO"""
"25207,""SERVICO FEDERAL DE PROCESSAMENTO DE DADOS"",""33683111001928"",""0"",""PODER EXECUTIVO"",""5"",""EMPRESA PUBLICA COMERCIAL E FINANCEIRA"""
"25208,""SUPERINTENDENCIA DE SEGUROS PRIVADOS"",""42354068000119"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"25209,""SUPERINTENDENCIA NAC.ABASTECIMENTO-EM EXTINCA"",""33618323000100"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"25211,""CASA DA MOEDA DO BRASIL - CMB"",""34164319000174"",""0"",""PODER EXECUTIVO"",""5"",""EMPRESA PUBLICA COMERCIAL E FINANCEIRA"""
"25220,""CAIXA ECONOMICA FEDERAL"",""70000000013074"",""0"",""PODER EXECUTIVO"",""5"",""EMPRESA PUBLICA COMERCIAL E FINANCEIRA"""
"25280,""BANCO CENTRAL DO BRASIL"",""38166000954"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"25281,""BANCO DO BRASIL S/A"",""0"",""0"",""PODER EXECUTIVO"",""6"",""ECONOMIA MISTA"""
"25282,""BANCO DO NORDESTE DO BRASIL"",""0"",""0"",""PODER EXECUTIVO"",""6"",""ECONOMIA MISTA"""
"25289,""AGENC.BRAS.GEST.DE FUNDOS GAR.E GARANTIAS S/A"",""0"",""0"",""PODER EXECUTIVO"",""5"",""EMPRESA PUBLICA COMERCIAL E FINANCEIRA"""
"25301,""EMPRESA GESTORA DE ATIVOS"",""0"",""0"",""PODER EXECUTIVO"",""5"",""EMPRESA PUBLICA COMERCIAL E FINANCEIRA"""
"25801,""RECEITA FEDERAL DO BRASIL"",""394460000141"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"25802,""ESCOLA DE ADMINISTRACAO FAZENDARIA/MF"",""394460000141"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"25803,""PROCURADORIA-GERAL DA FAZENDA NACIONAL"",""394460000141"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"25804,""SUBSECRET.DE PLANEJ.,ORCAMENTO E ADM. ± SPOA"",""394460000141"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"25805,""SECRETARIA DO TESOURO NACIONAL - STN"",""394460000141"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"25806,""SECRETARIA DE ACOMPANHAMENTO ECONOMICO"",""394460000141"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"25901,""FUNDO DE COMPENSACAO E VARIACOES SALARIAIS"",""394460000141"",""0"",""PODER EXECUTIVO"",""7"",""FUNDOS"""
"25902,""FUNDO DE INVESTIMENTO DO NORDESTE"",""0"",""0"",""PODER EXECUTIVO"",""7"",""FUNDOS"""
"25903,""FUNDO DE INVESTIMENTO DA AMAZONIA"",""0"",""0"",""PODER EXECUTIVO"",""7"",""FUNDOS"""
"25904,""FUNDO DE ESTABILIDADE DO SEGURO RURAL"",""5478424000180"",""0"",""PODER EXECUTIVO"",""7"",""FUNDOS"""
"25905,""FUNDO DE APOIO AO DESENVOLVIMENTO SOCIAL"",""7758142000161"",""0"",""PODER EXECUTIVO"",""7"",""FUNDOS"""
"25907,""FUNDO CONST.DE FINANCIAMENTO-FNO - INTEGRACAO"",""0"",""0"",""PODER EXECUTIVO"",""7"",""FUNDOS"""
"25908,""FUNDO CONSTIT.FINANC.CENTO-OESTE-FCO-INTEG."",""0"",""0"",""PODER EXECUTIVO"",""7"",""FUNDOS"""
"25910,""FUNDO CONSTIT.FINANC.DO NORDESTE-FNE-INTEG."",""0"",""0"",""PODER EXECUTIVO"",""7"",""FUNDOS"""
"25914,""FUNDO DE GARANTIA A EXPORTACAO"",""3115105000184"",""0"",""PODER EXECUTIVO"",""7"",""FUNDOS"""
"25915,""FUNDO CONSTITUCIONAL DO DISTRITO FEDERAL"",""5448380000145"",""0"",""PODER EXECUTIVO"",""7"",""FUNDOS"""
"25916,""FUNDO CONTIGENTE DA EXTINTA RFFSA-FCMP."",""7361266000109"",""0"",""PODER EXECUTIVO"",""7"",""FUNDOS"""
"25917,""FUNDO PAGTO. PREST. PERDA RENDA DESEMP. INVAL"",""7758680000156"",""0"",""PODER EXECUTIVO"",""7"",""FUNDOS"""
"26000,""MINISTERIO DA EDUCACAO"",""394445000101"",""0"",""PODER EXECUTIVO"",""1"",""ADMINISTRACAO DIRETA"""
"26101,""FUNDO DE FINANC. AO ESTUDANTE DO ENS.SUPERIOR"",""394445000101"",""0"",""PODER EXECUTIVO"",""7"",""FUNDOS"""
"26201,""COLEGIO PEDRO II"",""42414284000102"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26202,""CENTRO FEDERAL DE EDUCACAO TECNOL.DE ALAGOAS"",""24464083000138"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26203,""CENTRO FEDERAL DE ED.TECNOLOGICA DO AMAZONAS"",""4391314000113"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26204,""ESCOLA TECNICA FEDERAL DA BAHIA"",""0"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26205,""CENTRO FED. DE EDUCACAO TECNOLOGICA DE CAMPOS"",""28965259000196"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26206,""CENTRO FEDERAL DE EDUCACAO TECNOL.DO CEARA"",""35005347000101"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26207,""CENTRO FED.DE EDUC.TECNOLOGICA DO ESPIR.SANTO"",""36048874000166"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26208,""CENTRO FED. DE EDUCACAO TECNOLOGICA DE GOIAS"",""33602608000145"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
"26209,""CENTRO FEDERAL DE EDUCACAO TECNOL.DO MARANHAO"",""6284533000129"",""0"",""PODER EXECUTIVO"",""3"",""AUTARQUIA"""
